"building-emissions","address","aircon-present","uprn-source","building-environment","address3","property-type","local-authority-label","other-fuel-desc","county","postcode","target-emissions","constituency","main-heating-fuel","building-level","new-build-benchmark","existing-stock-benchmark","local-authority","aircon-kw-rating","estimated-aircon-kw-rating","inspection-date","asset-rating-band","address1","constituency-label","renewable-sources","building-reference-number","standard-emissions","address2","posttown","asset-rating","special-energy-uses","lodgement-datetime","transaction-type","primary-energy-value","uprn","floor-area","typical-emissions","lodgement-date","lmk-key","ac-inspection-commissioned","country","longitude","latitude","county1"
"9.81","6 Cedar Business Park, Cedar Lane, Frimley","Yes","Energy Assessor","Air Conditioning","Frimley","Offices and Workshop Businesses","Surrey Heath",,"Surrey","GU16 7AZ","9.26","E14000983","Grid Supplied Electricity","4","23","93","E07000214","17.0",,"2021-06-28","A","6 Cedar Business Park","Surrey Heath",,"10002947359","19.85","Cedar Lane","CAMBERLEY","25",,"2022-06-30 17:47:52","Mandatory issue (Marketed sale)","103","10002684249","144","37.05","2022-06-30","00f579f8778ecb689c27f19dd5513ec644fc20f050972aa023d079af7171e4e8","5","United Kingdom",-0.742814,51.313398,"Surrey"
"16.57","830-840 Bath Road, Brislington","No","Energy Assessor","Air Conditioning",,"Retail/Financial and Professional Services","Bristol, City of",,,"BS4 5LQ","4.81","E14000599","Grid Supplied Electricity","3","11","43","E06000023",,,"2022-06-27","B","830-840 Bath Road","Bristol East",,"10002947115","22.24","Brislington","BRISTOL","37",,"2022-06-30 16:01:03","Mandatory issue (Property to let).","157","299948","1514","19.26","2022-06-30","23fa5657523595217f78590297928a10601ba9f8fda63a474a319a07e895413c","4","United Kingdom",-2.541396,51.429586,"Bristol"
"96.83","27a St Petersgate","No","Energy Assessor","Heating and Natural Ventilation",,"Restaurants and Cafes/Drinking Establishments/Takeaways","Stockport",,,"SK1 1EB","32.15","E14000969","Natural Gas","3","27","108","E08000007",,,"2022-03-31","D","27a St Petersgate","Stockport",,"10002940174","59.3",,"STOCKPORT","82",,"2022-06-30 20:54:24","Mandatory issue (Marketed sale)","749","100012769287","139","128.6","2022-06-30","1bad31a7a63422b14e744f71b8889fd70a6ae4c668f0b00a020dec380b039b5b","4","United Kingdom",-2.158064,53.409982,"Stockport"
"40.55","10 Station Parade, Belmont Circle","Yes",,"Air Conditioning",,"Restaurants and Cafes/Drinking Establishments/Takeaways","Harrow",,,"HA3 8SB","19.05","E14000731","Grid Supplied Electricity","3","24","95","E09000015",,"1.0","2022-06-28","B","10 Station Parade","Harrow East",,"10002938051","40.3","Belmont Circle","Harrow","50",,"2022-07-01 08:26:45","Mandatory issue (Non-marketed sale)","368",,"104","76.21","2022-06-30","099cdc12d86b23607eabb6a5469f8c07e19292eabd23755447e4a0e1da0944bc","4","United Kingdom",-0.319192,51.600895,"Harrow"
"34.42","Tesco Express, 10 Major Draper Street, Royal Arsenal Riverside","No","Address Matched","Air Conditioning","Royal Arsenal Riverside","Retail/Financial and Professional Services","Greenwich",,,"SE18 6GD","6.73","E14000718","Grid Supplied Electricity","4","11","44","E09000011",,,"2022-06-24","C","Tesco Express ","Greenwich and Woolwich",,"10002955026","30.77","10 Major Draper Street","London ","56",,"2022-06-30 15:54:45","Mandatory issue (Marketed sale)","373","10010237489","396","26.94","2022-06-30","008f1d5dbf8fd46b37e4daf0eef9e95ab6f0d4e4013c07854d20d99f919abb2c","4","United Kingdom",0.070764,51.492803,"Greenwich Teaching"
"42.73","Unit 19, Phoenix Business Park, Telford Street","No","Energy Assessor","Heating and Natural Ventilation","Telford Street","B2 to B7 General Industrial and Special Industrial Groups","Newport",,,"NP19 0LW","10.46","W07000055","Grid Supplied Electricity","3","19","65","W06000022",,,"2022-06-29","D","Unit 19","Newport East",,"10002959392","26.94","Phoenix Business Park","NEWPORT","79",,"2022-06-30 15:10:22","Mandatory issue (Property to let).","252","10014123877","72","34.86","2022-06-30","39bcceaaf8aca363ccad787ec862f98ffbd31c924c447d8c7920ef1aa457d61c","4","United Kingdom",-2.972727,51.585777,"Aneurin Bevan University Health Board"
"4.71","Wokingham Leisure Centre, Wellington Road","Yes","Address Matched","Heating and Mechanical Ventilation",,"General Assembly and Leisure, Night Clubs, and Theatres","Wokingham",,,"RG40 2AF","14.03","E14001048","Grid Supplied Electricity","5","7","20","E06000041",,"3.0","2022-06-30","A","Wokingham Leisure Centre","Wokingham",,"10002962505","94.2","Wellington Road","Wokingham","2",,"2022-06-30 10:58:10","Mandatory issue (Property on construction).","47","14045442","5820","37.4","2022-06-30","434df569f888d483dd875df04fe2755164985a22773148a05a14fb0984720af2","5","United Kingdom",-0.838121,51.407558,"Berkshire West"
"36.69","30 Staynor Link","No",,"Heating and Natural Ventilation",,"A1/A2 Retail and Financial/Professional services","Selby",,"North Yorkshire","YO8 8GE","36.36","E14000917","Natural Gas","4","24","70","E07000169",,,"2022-06-27","A","30 Staynor Link","Selby and Ainsty",,"10002940739","75.9",,"Selby","24",,"2022-06-30 20:28:02","Mandatory issue (Property on construction).","214",,"55","106.55","2022-06-30","3af17ad47901045a84920838e6b45a1f2fdbd1228409de473b0c92c7f1d2fb05","4","United Kingdom",-1.054208,53.771573,"North Yorkshire and York"
"18.13","Unit 17a, Lower Level, Festival Place","No","Address Matched","Air Conditioning","Festival Place","Retail/Financial and Professional Services","Basingstoke and Deane",,"Hampshire","RG21 7BE","3.12","E14000545","Grid Supplied Electricity","4","13","51","E07000084",,,"2022-03-29","C","Unit 17a","Basingstoke",,"10002958353","12.26","Lower Level","BASINGSTOKE","74",,"2022-06-30 13:44:25","Mandatory issue (Non-marketed sale)","196","10002180043","194","12.48","2022-06-30","3b053c1271b7dc43e218aa71bfa932e512bd0adea3fe82b631331205e70c98c0","4","United Kingdom",-1.085687,51.265456,"Hampshire"
"13.67","10 Hampstead House, Festival Place","No",,"Air Conditioning",,"Retail/Financial and Professional Services","Basingstoke and Deane",,"Hampshire","RG21 7LG","2.97","E14000545","Natural Gas","4","12","46","E07000084",,,"2022-03-21","C","10 Hampstead House","Basingstoke",,"10002937900","12.82","Festival Place","BASINGSTOKE","53",,"2022-06-30 13:08:30","Mandatory issue (Non-marketed sale)","127",,"892","11.9","2022-06-30","0baca2d57cab1b1e4a69c6abef723dc52feb23a6af9d7db3b6b7b8cb1bbe338a","4","United Kingdom",-1.087917,51.265771,"Hampshire"
